code,description
i5683,"Bag of stainless steel bolts, nuts, and washers in metric sizes"
i7628,"Transformer core from a substation, weighs about 90 kilograms"
i8827,"Stun baton with cracked insulation and exposed wiring"
i4796,"Reactor fuel cassette stored in regulation shielding canister, fully certified"
i4668,"Functional flamethrower with pressurized fuel canister and ignition system"
i7391,"Reactor fuel cassette containing enriched uranium pellets for portable nuclear power units"
i4077,"Compact submachine gun frame missing the magazine"
i2891,"Handful of ceramic capacitors and resistors in an old tobacco tin"
i0385,"Circuit board collection from scrapped radio transceivers"
i6742,"extended-range anti-tank mine"
